LCLid,stdorToU,DateTime,KWH/hh (per half hour) 
MAC000002,Std,2012-10-13 04:00:00.0000000, 0.167 
MAC000002,Std,2012-10-13 04:30:00.0000000, 0.109 
MAC000002,Std,2012-10-13 05:00:00.0000000, 0.168 
MAC000002,Std,2012-10-13 05:30:00.0000000, 0.107 
MAC000002,Std,2012-10-13 06:00:00.0000000, 0.166 
MAC000002,Std,2012-10-13 06:30:00.0000000, 0.117 
MAC000002,Std,2012-10-13 07:00:00.0000000, 0.157 
MAC000002,Std,2012-10-13 07:30:00.0000000, 0.126 
MAC000002,Std,2012-10-13 08:00:00.0000000, 0.146 
MAC000002,Std,2012-10-13 08:30:00.0000000, 0.106 
MAC000002,Std,2012-10-13 09:00:00.0000000, 0.135 
MAC000002,Std,2012-10-13 09:30:00.0000000, 0.191 
MAC000002,Std,2012-10-13 10:00:00.0000000, 0.915 
MAC000002,Std,2012-10-13 10:30:00.0000000, 0.933 
MAC000002,Std,2012-10-13 11:00:00.0000000, 0.122 
MAC000002,Std,2012-10-13 11:30:00.0000000, 0.138 
MAC000002,Std,2012-10-13 12:00:00.0000000, 0.076 
MAC000002,Std,2012-10-13 12:30:00.0000000, 0.133 
MAC000002,Std,2012-10-13 13:00:00.0000000, 0.076 
MAC000002,Std,2012-10-13 13:30:00.0000000, 0.133 
MAC000002,Std,2012-10-13 14:00:00.0000000, 0.085 
MAC000002,Std,2012-10-13 14:30:00.0000000, 0.263 
MAC000002,Std,2012-10-13 15:00:00.0000000, 0.134 
MAC000002,Std,2012-10-13 15:30:00.0000000, 0.235 
MAC000002,Std,2012-10-13 16:00:00.0000000, 0.124 
MAC000002,Std,2012-10-13 16:30:00.0000000, 0.184 
MAC000002,Std,2012-10-13 17:00:00.0000000, 0.23 
MAC000002,Std,2012-10-13 17:30:00.0000000, 0.176 
MAC000002,Std,2012-10-13 18:00:00.0000000, 0.388 
MAC000002,Std,2012-10-13 18:30:00.0000000, 0.26 
MAC000002,Std,2012-10-13 19:00:00.0000000, 0.918 
MAC000002,Std,2012-10-13 19:30:00.0000000, 0.278 
MAC000002,Std,2012-10-13 20:00:00.0000000, 0.267 
MAC000002,Std,2012-10-13 20:30:00.0000000, 0.239 
MAC000002,Std,2012-10-13 21:00:00.0000000, 0.23 
MAC000002,Std,2012-10-13 21:30:00.0000000, 0.233 
MAC000002,Std,2012-10-13 22:00:00.0000000, 0.235 
MAC000002,Std,2012-10-13 22:30:00.0000000, 0.188 
MAC000002,Std,2012-10-13 23:00:00.0000000, 0.259 
MAC000002,Std,2012-10-13 23:30:00.0000000, 0.25 
MAC000002,Std,2012-10-14 00:00:00.0000000, 0.262 
MAC000002,Std,2012-10-14 00:30:00.0000000, 0.166 
MAC000002,Std,2012-10-14 01:00:00.0000000, 0.226 
MAC000002,Std,2012-10-14 01:30:00.0000000, 0.088 
MAC000002,Std,2012-10-14 02:00:00.0000000, 0.126 
MAC000002,Std,2012-10-14 02:30:00.0000000, 0.082 
MAC000002,Std,2012-10-14 03:00:00.0000000, 0.123 
MAC000002,Std,2012-10-14 03:30:00.0000000, 0.083 
MAC000002,Std,2012-10-14 04:00:00.0000000, 0.12 
MAC000002,Std,2012-10-14 04:30:00.0000000, 0.079 
MAC000002,Std,2012-10-14 05:00:00.0000000, 0.121 
MAC000002,Std,2012-10-14 05:30:00.0000000, 0.075 
MAC000002,Std,2012-10-14 06:00:00.0000000, 0.124 
MAC000002,Std,2012-10-14 06:30:00.0000000, 0.073 
MAC000002,Std,2012-10-14 07:00:00.0000000, 0.125 
MAC000002,Std,2012-10-14 07:30:00.0000000, 0.07 
MAC000002,Std,2012-10-14 08:00:00.0000000, 0.13 
MAC000002,Std,2012-10-14 08:30:00.0000000, 0.108 
MAC000002,Std,2012-10-14 09:00:00.0000000, 0.196 
MAC000002,Std,2012-10-14 09:30:00.0000000, 0.346 
MAC000002,Std,2012-10-14 10:00:00.0000000, 0.524 
MAC000002,Std,2012-10-14 10:30:00.0000000, 0.076 
MAC000002,Std,2012-10-14 11:00:00.0000000, 0.129 
MAC000002,Std,2012-10-14 11:30:00.0000000, 0.667 
MAC000002,Std,2012-10-14 12:00:00.0000000, 0.23 
MAC000002,Std,2012-10-14 12:30:00.0000000, 0.22 
MAC000002,Std,2012-10-14 13:00:00.0000000, 0.163 
MAC000002,Std,2012-10-14 13:30:00.0000000, 0.091 
MAC000002,Std,2012-10-14 14:00:00.0000000, 0.17 
MAC000002,Std,2012-10-14 14:30:00.0000000, 0.11 
MAC000002,Std,2012-10-14 15:00:00.0000000, 0.11 
MAC000002,Std,2012-10-14 15:30:00.0000000, 0.121 
MAC000002,Std,2012-10-14 16:00:00.0000000, 0.099 
MAC000002,Std,2012-10-14 16:30:00.0000000, 0.157 
MAC000002,Std,2012-10-14 17:00:00.0000000, 0.093 
MAC000002,Std,2012-10-14 17:30:00.0000000, 0.371 
MAC000002,Std,2012-10-14 18:00:00.0000000, 0.386 
MAC000002,Std,2012-10-14 18:30:00.0000000, 1.085 
MAC000002,Std,2012-10-14 19:00:00.0000000, 1.075 
MAC000002,Std,2012-10-14 19:30:00.0000000, 0.956 
MAC000002,Std,2012-10-14 20:00:00.0000000, 0.821 
MAC000002,Std,2012-10-14 20:30:00.0000000, 0.745 
MAC000002,Std,2012-10-14 21:00:00.0000000, 0.712 
MAC000002,Std,2012-10-14 21:30:00.0000000, 0.511 
MAC000002,Std,2012-10-14 22:00:00.0000000, 0.231 
MAC000002,Std,2012-10-14 22:30:00.0000000, 0.21 
MAC000002,Std,2012-10-14 23:00:00.0000000, 0.278 
MAC000002,Std,2012-10-14 23:30:00.0000000, 0.159 
MAC000002,Std,2012-10-15 00:00:00.0000000, 0.192 
MAC000002,Std,2012-10-15 00:30:00.0000000, 0.097 
MAC000002,Std,2012-10-15 01:00:00.0000000, 0.141 
MAC000002,Std,2012-10-15 01:30:00.0000000, 0.083 
MAC000002,Std,2012-10-15 02:00:00.0000000, 0.132 
MAC000002,Std,2012-10-15 02:30:00.0000000, 0.07 
MAC000002,Std,2012-10-15 03:00:00.0000000, 0.13 
MAC000002,Std,2012-10-15 03:30:00.0000000, 0.074 
MAC000002,Std,2012-10-15 04:00:00.0000000, 0.124 
MAC000002,Std,2012-10-15 04:30:00.0000000, 0.078 
MAC000002,Std,2012-10-15 05:00:00.0000000, 0.118 
MAC000002,Std,2012-10-15 05:30:00.0000000, 0.082 
MAC000002,Std,2012-10-15 06:00:00.0000000, 0.112 
MAC000002,Std,2012-10-15 06:30:00.0000000, 0.087 
MAC000002,Std,2012-10-15 07:00:00.0000000, 0.106 
MAC000002,Std,2012-10-15 07:30:00.0000000, 0.14 
MAC000002,Std,2012-10-15 08:00:00.0000000, 0.12 
MAC000002,Std,2012-10-15 08:30:00.0000000, 1.075 
MAC000002,Std,2012-10-15 09:00:00.0000000, 0.146 
MAC000002,Std,2012-10-15 09:30:00.0000000, 0.123 
MAC000002,Std,2012-10-15 10:00:00.0000000, 0.082 
MAC000002,Std,2012-10-15 10:30:00.0000000, 0.127 
MAC000002,Std,2012-10-15 11:00:00.0000000, 0.077 
MAC000002,Std,2012-10-15 11:30:00.0000000, 0.551 
MAC000002,Std,2012-10-15 12:00:00.0000000, 0.149 
MAC000002,Std,2012-10-15 12:30:00.0000000, 0.129 
MAC000002,Std,2012-10-15 13:00:00.0000000, 0.075 
MAC000002,Std,2012-10-15 13:30:00.0000000, 0.13 
MAC000002,Std,2012-10-15 14:00:00.0000000, 0.075 
MAC000002,Std,2012-10-15 14:30:00.0000000, 0.129 
MAC000002,Std,2012-10-15 15:00:00.0000000, 0.075 
MAC000002,Std,2012-10-15 15:30:00.0000000, 0.128 
MAC000002,Std,2012-10-15 16:00:00.0000000, 0.166 
MAC000002,Std,2012-10-15 16:30:00.0000000, 0.194 
MAC000002,Std,2012-10-15 17:00:00.0000000, 0.695 
MAC000002,Std,2012-10-15 17:30:00.0000000, 0.26 
MAC000002,Std,2012-10-15 18:00:00.0000000, 0.227 
MAC000002,Std,2012-10-15 18:30:00.0000000, 0.255 
MAC000002,Std,2012-10-15 19:00:00.0000000, 1.164 
MAC000002,Std,2012-10-15 19:30:00.0000000, 0.249 
MAC000002,Std,2012-10-15 20:00:00.0000000, 0.225 
MAC000002,Std,2012-10-15 20:30:00.0000000, 0.258 
MAC000002,Std,2012-10-15 21:00:00.0000000, 0.26 
MAC000002,Std,2012-10-15 21:30:00.0000000, 0.334 
MAC000002,Std,2012-10-15 22:00:00.0000000, 0.299 
MAC000002,Std,2012-10-15 22:30:00.0000000, 0.236 
MAC000002,Std,2012-10-15 23:00:00.0000000, 0.241 
MAC000002,Std,2012-10-15 23:30:00.0000000, 0.237 
MAC000002,Std,2012-10-16 00:00:00.0000000, 0.237 
MAC000002,Std,2012-10-16 00:30:00.0000000, 0.237 
MAC000002,Std,2012-10-16 01:00:00.0000000, 0.193 
MAC000002,Std,2012-10-16 01:30:00.0000000, 0.118 
MAC000002,Std,2012-10-16 02:00:00.0000000, 0.098 
MAC000002,Std,2012-10-16 02:30:00.0000000, 0.107 
MAC000002,Std,2012-10-16 03:00:00.0000000, 0.094 
MAC000002,Std,2012-10-16 03:30:00.0000000, 0.109 
MAC000002,Std,2012-10-16 04:00:00.0000000, 0.091 
MAC000002,Std,2012-10-16 04:30:00.0000000, 0.105 
MAC000002,Std,2012-10-16 05:00:00.0000000, 0.091 
MAC000002,Std,2012-10-16 05:30:00.0000000, 0.104 
MAC000002,Std,2012-10-16 06:00:00.0000000, 0.092 
MAC000002,Std,2012-10-16 06:30:00.0000000, 0.103 
MAC000002,Std,2012-10-16 07:00:00.0000000, 0.093 
MAC000002,Std,2012-10-16 07:30:00.0000000, 0.101 
MAC000002,Std,2012-10-16 08:00:00.0000000, 0.144 
MAC000002,Std,2012-10-16 08:30:00.0000000, 0.1 
MAC000002,Std,2012-10-16 09:00:00.0000000, 0.408 
MAC000002,Std,2012-10-16 09:30:00.0000000, 0.102 
MAC000002,Std,2012-10-16 10:00:00.0000000, 0.1 
MAC000002,Std,2012-10-16 10:30:00.0000000, 0.116 
MAC000002,Std,2012-10-16 11:00:00.0000000, 0.354 
MAC000002,Std,2012-10-16 11:30:00.0000000, 0.146 
MAC000002,Std,2012-10-16 12:00:00.0000000, 0.19 
MAC000002,Std,2012-10-16 12:30:00.0000000, 0.991 
MAC000002,Std,2012-10-16 13:00:00.0000000, 0.31 
MAC000002,Std,2012-10-16 13:30:00.0000000, 0.121 
MAC000002,Std,2012-10-16 14:00:00.0000000, 0.113 
MAC000002,Std,2012-10-16 14:30:00.0000000, 0.094 
MAC000002,Std,2012-10-16 15:00:00.0000000, 0.119 
MAC000002,Std,2012-10-16 15:30:00.0000000, 0.087 
MAC000002,Std,2012-10-16 16:00:00.0000000, 0.13 
MAC000002,Std,2012-10-16 16:30:00.0000000, 0.238 
MAC000002,Std,2012-10-16 17:00:00.0000000, 0.204 
MAC000002,Std,2012-10-16 17:30:00.0000000, 0.284 
MAC000002,Std,2012-10-16 18:00:00.0000000, 0.447 
MAC000002,Std,2012-10-16 18:30:00.0000000, 0.266 
MAC000002,Std,2012-10-16 19:00:00.0000000, 0.966 
MAC000002,Std,2012-10-16 19:30:00.0000000, 0.172 
MAC000002,Std,2012-10-16 20:00:00.0000000, 0.192 
MAC000002,Std,2012-10-16 20:30:00.0000000, 0.228 
MAC000002,Std,2012-10-16 21:00:00.0000000, 0.203 
MAC000002,Std,2012-10-16 21:30:00.0000000, 0.211 
MAC000002,Std,2012-10-16 22:00:00.0000000, 0.188 
MAC000002,Std,2012-10-16 22:30:00.0000000, 0.213 
MAC000002,Std,2012-10-16 23:00:00.0000000, 0.157 
MAC000002,Std,2012-10-16 23:30:00.0000000, 0.202 
MAC000002,Std,2012-10-17 00:00:00.0000000, 0.157 
MAC000002,Std,2012-10-17 00:30:00.0000000, 0.211 
MAC000002,Std,2012-10-17 01:00:00.0000000, 0.155 
MAC000002,Std,2012-10-17 01:30:00.0000000, 0.169 
MAC000002,Std,2012-10-17 02:00:00.0000000, 0.101 
MAC000002,Std,2012-10-17 02:30:00.0000000, 0.117 
MAC000002,Std,2012-10-17 03:00:00.0000000, 0.084 
MAC000002,Std,2012-10-17 03:30:00.0000000, 0.118 
MAC000002,Std,2012-10-17 04:00:00.0000000, 0.08 
MAC000002,Std,2012-10-17 04:30:00.0000000, 0.119 
MAC000002,Std,2012-10-17 05:00:00.0000000, 0.075 
MAC000002,Std,2012-10-17 05:30:00.0000000, 0.123 
MAC000002,Std,2012-10-17 06:00:00.0000000, 0.071 
MAC000002,Std,2012-10-17 06:30:00.0000000, 0.126 
MAC000002,Std,2012-10-17 07:00:00.0000000, 0.067 
MAC000002,Std,2012-10-17 07:30:00.0000000, 0.124 
MAC000002,Std,2012-10-17 08:00:00.0000000, 0.118 
MAC000002,Std,2012-10-17 08:30:00.0000000, 0.132 
MAC000002,Std,2012-10-17 09:00:00.0000000, 0.358 
MAC000002,Std,2012-10-17 09:30:00.0000000, 0.628 
MAC000002,Std,2012-10-17 10:00:00.0000000, 0.784 
MAC000002,Std,2012-10-17 10:30:00.0000000, 0.681 
MAC000002,Std,2012-10-17 11:00:00.0000000, 0.749 
MAC000002,Std,2012-10-17 11:30:00.0000000, 0.593 
MAC000002,Std,2012-10-17 12:00:00.0000000, 0.502 
MAC000002,Std,2012-10-17 12:30:00.0000000, 0.115 
MAC000002,Std,2012-10-17 13:00:00.0000000, 0.113 
MAC000002,Std,2012-10-17 13:30:00.0000000, 0.092 
MAC000002,Std,2012-10-17 14:00:00.0000000, 0.124 
MAC000002,Std,2012-10-17 14:30:00.0000000, 0.084 
MAC000002,Std,2012-10-17 15:00:00.0000000, 0.125 
MAC000002,Std,2012-10-17 15:30:00.0000000, 0.078 
MAC000002,Std,2012-10-17 16:00:00.0000000, 0.136 
MAC000002,Std,2012-10-17 16:30:00.0000000, 0.227 
MAC000002,Std,2012-10-17 17:00:00.0000000, 0.207 
MAC000002,Std,2012-10-17 17:30:00.0000000, 0.141 
MAC000002,Std,2012-10-17 18:00:00.0000000, 0.258 
MAC000002,Std,2012-10-17 18:30:00.0000000, 0.217 
MAC000002,Std,2012-10-17 19:00:00.0000000, 0.223 
MAC000002,Std,2012-10-17 19:30:00.0000000, 0.075 
MAC000002,Std,2012-10-17 20:00:00.0000000, 0.23 
MAC000002,Std,2012-10-17 20:30:00.0000000, 0.208 
MAC000002,Std,2012-10-17 21:00:00.0000000, 0.265 
MAC000002,Std,2012-10-17 21:30:00.0000000, 0.377 
MAC000002,Std,2012-10-17 22:00:00.0000000, 0.327 
MAC000002,Std,2012-10-17 22:30:00.0000000, 0.277 
MAC000002,Std,2012-10-17 23:00:00.0000000, 0.288 
MAC000002,Std,2012-10-17 23:30:00.0000000, 0.256 
MAC000002,Std,2012-10-18 00:00:00.0000000, 0.288 
MAC000002,Std,2012-10-18 00:30:00.0000000, 0.259 
MAC000002,Std,2012-10-18 01:00:00.0000000, 0.291 
MAC000002,Std,2012-10-18 01:30:00.0000000, 0.238 
MAC000002,Std,2012-10-18 02:00:00.0000000, 0.17 
MAC000002,Std,2012-10-18 02:30:00.0000000, 0.116 
MAC000002,Std,2012-10-18 03:00:00.0000000, 0.165 
MAC000002,Std,2012-10-18 03:30:00.0000000, 0.112 
MAC000002,Std,2012-10-18 04:00:00.0000000, 0.166 
MAC000002,Std,2012-10-18 04:30:00.0000000, 0.109 
MAC000002,Std,2012-10-18 05:00:00.0000000, 0.166 
MAC000002,Std,2012-10-18 05:30:00.0000000, 0.106 
MAC000002,Std,2012-10-18 06:00:00.0000000, 0.165 
MAC000002,Std,2012-10-18 06:30:00.0000000, 0.102 
MAC000002,Std,2012-10-18 07:00:00.0000000, 0.164 
MAC000002,Std,2012-10-18 07:30:00.0000000, 0.103 
MAC000002,Std,2012-10-18 08:00:00.0000000, 0.173 
MAC000002,Std,2012-10-18 08:30:00.0000000, 0.145 
MAC000002,Std,2012-10-18 09:00:00.0000000, 0.366 
MAC000002,Std,2012-10-18 09:30:00.0000000, 0.187 
MAC000002,Std,2012-10-18 10:00:00.0000000, 0.194 
MAC000002,Std,2012-10-18 10:30:00.0000000, 0.19 
MAC000002,Std,2012-10-18 11:00:00.0000000, 0.192 
MAC000002,Std,2012-10-18 11:30:00.0000000, 0.313 
MAC000002,Std,2012-10-18 12:00:00.0000000, 0.125 
MAC000002,Std,2012-10-18 12:30:00.0000000, 0.139 
MAC000002,Std,2012-10-18 13:00:00.0000000, 0.127 
MAC000002,Std,2012-10-18 13:30:00.0000000, 0.144 
MAC000002,Std,2012-10-18 14:00:00.0000000, 0.122 
MAC000002,Std,2012-10-18 14:30:00.0000000, 0.149 
MAC000002,Std,2012-10-18 15:00:00.0000000, 0.119 
MAC000002,Std,2012-10-18 15:30:00.0000000, 0.151 
MAC000002,Std,2012-10-18 16:00:00.0000000, 0.113 
MAC000002,Std,2012-10-18 16:30:00.0000000, 0.154 
MAC000002,Std,2012-10-18 17:00:00.0000000, 0.151 
MAC000002,Std,2012-10-18 17:30:00.0000000, 0.228 
MAC000002,Std,2012-10-18 18:00:00.0000000, 0.112 
MAC000002,Std,2012-10-18 18:30:00.0000000, 0.185 
MAC000002,Std,2012-10-18 19:00:00.0000000, 0.897 
MAC000002,Std,2012-10-18 19:30:00.0000000, 0.332 
MAC000002,Std,2012-10-18 20:00:00.0000000, 0.775 
MAC000002,Std,2012-10-18 20:30:00.0000000, 0.716 
MAC000002,Std,2012-10-18 21:00:00.0000000, 0.614 
MAC000002,Std,2012-10-18 21:30:00.0000000, 0.219 
MAC000002,Std,2012-10-18 22:00:00.0000000, 0.178 
MAC000002,Std,2012-10-18 22:30:00.0000000, 0.193 
MAC000002,Std,2012-10-18 23:00:00.0000000, 0.166 
MAC000002,Std,2012-10-18 23:30:00.0000000, 0.162 
MAC000002,Std,2012-10-19 00:00:00.0000000, 0.165 
MAC000002,Std,2012-10-19 00:30:00.0000000, 0.154 
MAC000002,Std,2012-10-19 01:00:00.0000000, 0.173 
MAC000002,Std,2012-10-19 01:30:00.0000000, 0.114 
MAC000002,Std,2012-10-19 02:00:00.0000000, 0.128 
MAC000002,Std,2012-10-19 02:30:00.0000000, 0.082 
MAC000002,Std,2012-10-19 03:00:00.0000000, 0.133 
MAC000002,Std,2012-10-19 03:30:00.0000000, 0.074 
MAC000002,Std,2012-10-19 04:00:00.0000000, 0.133 
MAC000002,Std,2012-10-19 04:30:00.0000000, 0.072 
MAC000002,Std,2012-10-19 05:00:00.0000000, 0.131 
MAC000002,Std,2012-10-19 05:30:00.0000000, 0.079 
MAC000002,Std,2012-10-19 06:00:00.0000000, 0.125 
MAC000002,Std,2012-10-19 06:30:00.0000000, 0.086 
MAC000002,Std,2012-10-19 07:00:00.0000000, 0.114 
MAC000002,Std,2012-10-19 07:30:00.0000000, 0.097 
MAC000002,Std,2012-10-19 08:00:00.0000000, 0.155 
MAC000002,Std,2012-10-19 08:30:00.0000000, 0.235 
MAC000002,Std,2012-10-19 09:00:00.0000000, 0.196 
MAC000002,Std,2012-10-19 09:30:00.0000000, 0.191 
MAC000002,Std,2012-10-19 10:00:00.0000000, 0.083 
MAC000002,Std,2012-10-19 10:30:00.0000000, 0.119 
MAC000002,Std,2012-10-19 11:00:00.0000000, 0.095 
MAC000002,Std,2012-10-19 11:30:00.0000000, 0.105 
MAC000002,Std,2012-10-19 12:00:00.0000000, 0.108 
MAC000002,Std,2012-10-19 12:30:00.0000000, 0.09 
MAC000002,Std,2012-10-19 13:00:00.0000000, 0.122 
MAC000002,Std,2012-10-19 13:30:00.0000000, 0.076 
MAC000002,Std,2012-10-19 14:00:00.0000000, 0.164 
MAC000002,Std,2012-10-19 14:30:00.0000000, 0.167 
MAC000002,Std,2012-10-19 15:00:00.0000000, 0.135 
MAC000002,Std,2012-10-19 15:30:00.0000000, 0.077 
MAC000002,Std,2012-10-19 16:00:00.0000000, 0.26 
MAC000002,Std,2012-10-19 16:30:00.0000000, 0.13 
MAC000002,Std,2012-10-19 17:00:00.0000000, 0.406 
MAC000002,Std,2012-10-19 17:30:00.0000000, 0.109 
MAC000002,Std,2012-10-19 18:00:00.0000000, 0.177 
MAC000002,Std,2012-10-19 18:30:00.0000000, 0.263 
MAC000002,Std,2012-10-19 19:00:00.0000000, 0.315 
MAC000002,Std,2012-10-19 19:30:00.0000000, 0.216 
MAC000002,Std,2012-10-19 20:00:00.0000000, 0.822 
MAC000002,Std,2012-10-19 20:30:00.0000000, 0.322 
MAC000002,Std,2012-10-19 21:00:00.0000000, 0.213 
MAC000002,Std,2012-10-19 21:30:00.0000000, 0.296 
MAC000002,Std,2012-10-19 22:00:00.0000000, 0.226 
MAC000002,Std,2012-10-19 22:30:00.0000000, 0.269 
MAC000002,Std,2012-10-19 23:00:00.0000000, 0.19 
MAC000002,Std,2012-10-19 23:30:00.0000000, 0.239 
MAC000002,Std,2012-10-20 00:00:00.0000000, 0.2 
MAC000002,Std,2012-10-20 00:00:00.0000000, 0.2 
MAC000002,Std,2012-10-20 00:30:00.0000000, 0.229 
MAC000002,Std,2012-10-20 01:00:00.0000000, 0.192 
MAC000002,Std,2012-10-20 01:30:00.0000000, 0.217 
MAC000002,Std,2012-10-20 02:00:00.0000000, 0.18 
MAC000002,Std,2012-10-20 02:30:00.0000000, 0.139 
MAC000002,Std,2012-10-20 03:00:00.0000000, 0.097 
MAC000002,Std,2012-10-20 03:30:00.0000000, 0.12 
MAC000002,Std,2012-10-20 04:00:00.0000000, 0.097 
MAC000002,Std,2012-10-20 04:30:00.0000000, 0.118 
MAC000002,Std,2012-10-20 05:00:00.0000000, 0.095 
MAC000002,Std,2012-10-20 05:30:00.0000000, 0.119 
MAC000002,Std,2012-10-20 06:00:00.0000000, 0.089 
MAC000002,Std,2012-10-20 06:30:00.0000000, 0.124 
MAC000002,Std,2012-10-20 07:00:00.0000000, 0.085 
MAC000002,Std,2012-10-20 07:30:00.0000000, 0.128 
MAC000002,Std,2012-10-20 08:00:00.0000000, 0.077 
MAC000002,Std,2012-10-20 08:30:00.0000000, 0.133 
MAC000002,Std,2012-10-20 09:00:00.0000000, 0.087 
MAC000002,Std,2012-10-20 09:30:00.0000000, 0.176 
MAC000002,Std,2012-10-20 10:00:00.0000000, 0.073 
MAC000002,Std,2012-10-20 10:30:00.0000000, 0.264 
MAC000002,Std,2012-10-20 11:00:00.0000000, 0.505 
MAC000002,Std,2012-10-20 11:30:00.0000000, 0.798 
MAC000002,Std,2012-10-20 12:00:00.0000000, 0.724 
MAC000002,Std,2012-10-20 12:30:00.0000000, 0.662 
MAC000002,Std,2012-10-20 13:00:00.0000000, 0.389 
MAC000002,Std,2012-10-20 13:30:00.0000000, 0.079 
MAC000002,Std,2012-10-20 14:00:00.0000000, 0.178 
MAC000002,Std,2012-10-20 14:30:00.0000000, 0.148 
MAC000002,Std,2012-10-20 15:00:00.0000000, 0.233 
MAC000002,Std,2012-10-20 15:30:00.0000000, 0.328 
MAC000002,Std,2012-10-20 16:00:00.0000000, 0.428 
MAC000002,Std,2012-10-20 16:30:00.0000000, 0.592 
MAC000002,Std,2012-10-20 17:00:00.0000000, 0.688 
MAC000002,Std,2012-10-20 17:30:00.0000000, 0.893 
MAC000002,Std,2012-10-20 18:00:00.0000000, 1.4529999 
MAC000002,Std,2012-10-20 18:30:00.0000000, 0.909 
MAC000002,Std,2012-10-20 19:00:00.0000000, 0.504 
MAC000002,Std,2012-10-20 19:30:00.0000000, 0.637 
MAC000002,Std,2012-10-20 20:00:00.0000000, 0.686 
MAC000002,Std,2012-10-20 20:30:00.0000000, 0.581 
MAC000002,Std,2012-10-20 21:00:00.0000000, 0.585 
MAC000002,Std,2012-10-20 21:30:00.0000000, 0.562 
MAC000002,Std,2012-10-20 22:00:00.0000000, 0.536 
MAC000002,Std,2012-10-20 22:30:00.0000000, 0.429 
MAC000002,Std,2012-10-20 23:00:00.0000000, 0.426 
MAC000002,Std,2012-10-20 23:30:00.0000000, 0.386 
MAC000002,Std,2012-10-21 00:00:00.0000000, 0.39 
MAC000002,Std,2012-10-21 00:30:00.0000000, 0.348 
MAC000002,Std,2012-10-21 01:00:00.0000000, 0.372 
MAC000002,Std,2012-10-21 01:30:00.0000000, 0.341 
MAC000002,Std,2012-10-21 02:00:00.0000000, 0.37 
